,3M Company,Alcoa Incorporated,American Express Company,AT&T Incorporated,Bank of America Corporation,Boeing Corporation,Caterpillar Incorporated,Chevron Corporation,"Cisco Systems, Inc",Coca-Cola Company,DuPont,Exxon Mobil Corporation,General Electric Company,Home Depot Incorporated,Microsoft Corporation,Intel Corporation,International Business Machines,J.P. Morgan Chase & Company,Johnson & Johnson,McDonald’s Corporation,Merck & Company,Pfizer Incorporated,Procter & Gamble Company,"The Travelers Companies, Inc",United Technologies,Verizon Company,Wal-Mart Stores Incorporated,Walt Disney Company
2011-04-13,92.860001,39.76965,46.099998,30.18,13.27,72.129997,107.629997,103.809998,17.25,33.639999,52.234001,83.160004,153.384613,37.669998,25.629999,19.780001,163.949997,46.25,59.599998,76.889999,31.937023,19.411764,62.990002,59.93,52.995594,37.689999,53.630001,41.700001
2011-04-14,92.940002,39.76965,45.880001,30.290001,13.13,72.300003,107.580002,104.879997,17.17,34.154999,52.561352,83.440002,153.846161,37.84,25.42,19.58,164.970001,44.970001,60.02,77.07,32.309158,19.440228,63.299999,59.630001,52.850849,37.709999,53.5,41.02
2011-04-15,92.82,39.697559,46.25,30.65,12.82,72.599998,107.209999,106.239998,17.030001,34.005001,53.77113,84.290001,154.153839,38.169998,25.370001,19.75,166.210007,44.889999,60.560001,77.379997,32.92939,19.478178,64.18,59.799999,52.517307,37.849998,53.549999,41.52
2011-04-18,91.449997,38.760391,46.060001,30.309999,12.42,72.790001,103.900002,104.5,16.73,33.654999,52.675213,83.099998,153.692307,37.759998,25.08,19.620001,165.940002,43.959999,60.459999,77,32.375954,19.354839,64,59.009998,51.415985,37.310001,53.310001,41.200001
2011-04-19,91.860001,39.505322,46.639999,30.309999,12.34,73.150002,106.099998,105.400002,16.610001,33.544998,53.657269,83.800003,155.92308,37.77,25.15,19.860001,165.399994,44.650002,62.689999,76.599998,32.204197,19.478178,63.860001,58.18,51.831341,37.240002,53.349998,41.349998
2011-04-20,93.760002,39.98592,47,30.129999,12.27,75.07,108.279999,107.809998,16.93,33.924999,54.411602,85.650002,156.92308,37.939999,25.76,21.41,164.75,44.560001,64.389999,78.400002,32.480915,19.34535,63.720001,59.130001,54.059158,37.790001,53.689999,42.040001
2011-04-21,93.919998,40.778912,47.110001,30.68,12.31,75.440002,109.419998,108.129997,16.940001,33.939999,56.190689,86.360001,153.461533,37.799999,25.52,21.459999,168.279999,44.68,64.07,76.910004,32.480915,18.776091,63.27,61.32,54.81435,36.91,53.580002,42.27
2011-04-25,94.120003,40.58667,47.049999,30.549999,12.44,74.900002,108.849998,107.419998,17.1,33.869999,56.005665,86.220001,153,37.560001,25.610001,21.940001,167.669998,44.610001,64.110001,77.129997,32.757633,19.108158,63.369999,61.779999,54.461926,36.990002,53.369999,41.93
2011-04-26,95.940002,40.923092,47.099998,30.940001,12.23,75.550003,111.940002,108.75,17.52,33.465,56.888092,87.419998,154.615387,37.209999,26.190001,22.48,168.490005,45.119999,64.949997,76.940002,33.454197,19.155598,63.830002,61.389999,55.292637,37.630001,53.91,42.330002
2011-04-27,96.470001,41.283539,47.619999,31.42,12.33,76.120003,112.610001,108.970001,17.190001,33.5,56.816929,87.779999,158.846161,37.32,26.379999,22.629999,170.369995,45.5,65.57,77.870003,33.998093,19.573055,64.019997,62.25,55.292637,38.25,54.419998,42.580002
2011-04-28,97.230003,41.067268,48.52,31.370001,12.42,78.550003,112.639999,108.809998,17.290001,33.705002,57.941311,87.339996,158.461533,37.470001,26.709999,22.799999,170.779999,45.849998,65.379997,78.029999,34.13168,19.762808,64.5,63.060001,56.016361,38.27,54.689999,43.02
2011-04-29,97.209999,40.851002,49.080002,31.120001,12.28,79.779999,115.410004,109.440002,17.52,33.73,58.339828,87.980003,157.307693,37.150002,25.92,23.15,170.580002,45.630001,65.720001,78.309998,34.303436,19.895636,64.900002,63.279999,56.37508,37.779999,54.98,43.099998
2011-05-02,96.919998,41.379662,49.650002,31.209999,12.34,79.529999,114.370003,108.18,17.58,33.860001,58.837971,86.970001,157.538467,37.349998,25.66,22.91,172.149994,45.18,66.209999,78.639999,34.646946,19.943073,65.18,63.52,56.639397,37.560001,55.040001,43.27
